EndStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Earnshaw Street , Covent Garden",92.0,96.0,79.0,66.0,83.25,65.0,51.516118,-0.128585
"East Ferry Road, Cubitt Town",16.0,13.0,17.0,13.0,14.75,19.0,51.49447,-0.014409
"East India DLR, Blackwall",38.0,39.0,23.0,38.0,34.5,39.0,51.509474,-0.002275
"East Road, Hoxton",29.0,32.0,42.0,46.0,37.25,38.0,51.528673,-0.087459
"East Village, Queen Elizabeth Olympic Park",47.0,54.0,54.0,72.0,56.75,52.0,51.546326,-0.009935
"Eastbourne Mews, Paddington",97.0,79.0,74.0,74.0,81.0,50.0,51.516417,-0.179135
"Eaton Square (South), Belgravia",46.0,30.0,26.0,26.0,32.0,23.0,51.494561,-0.153933
"Eaton Square, Belgravia",50.0,28.0,42.0,30.0,37.5,13.0,51.496544,-0.150905
"Ebury Bridge, Pimlico",49.0,35.0,22.0,42.0,37.0,40.0,51.490491,-0.149186
"Eccleston Place, Victoria",115.0,107.0,116.0,127.0,116.25,90.0,51.49395,-0.147624
"Edgware Road Station, Marylebone",35.0,49.0,53.0,59.0,49.0,25.0,51.519968,-0.169774
"Eel Brook Common, Walham Green",40.0,37.0,29.0,36.0,35.5,25.0,51.476259,-0.193254
"Elizabeth Bridge, Victoria",76.0,54.0,60.0,57.0,61.75,76.0,51.492369,-0.147478
"Elysium Place, Fulham",26.0,15.0,26.0,16.0,20.75,27.0,51.471079,-0.207842
"Embankment (Savoy), Strand",54.0,74.0,44.0,47.0,54.75,33.0,51.509631,-0.119047
"Emperor's Gate, South Kensington",52.0,44.0,39.0,51.0,46.5,50.0,51.495362,-0.185296
"Empire Square, The Borough",67.0,64.0,65.0,69.0,66.25,51.0,51.500823,-0.08974
"Endsleigh Gardens, Euston",77.0,73.0,78.0,72.0,75.0,36.0,51.526838,-0.130504
"Erin Close, Walham Green",77.0,72.0,51.0,55.0,63.75,45.0,51.479463,-0.195777
"Esmond Street, Putney",12.0,13.0,9.0,6.0,10.0,5.0,51.462312,-0.211468
"Ethelburga Estate, Battersea Park",104.0,116.0,93.0,95.0,102.0,74.0,51.477292,-0.164786
"Euston Road, Euston",51.0,55.0,37.0,43.0,46.5,13.0,51.526236,-0.134407
"Euston Square Gardens, Euston",33.0,26.0,18.0,21.0,24.5,14.0,51.527068,-0.131861
"Everington Street, Fulham",42.0,34.0,35.0,25.0,34.0,22.0,51.483356,-0.216305
"Eversholt Street , Camden Town",23.0,25.0,26.0,29.0,25.75,26.0,51.533005,-0.136792
"Evesham Street, Avondale",18.0,10.0,19.0,11.0,14.5,16.0,51.511486,-0.21819
"Exhibition Road Museums 1, South Kensington",42.0,62.0,53.0,41.0,49.5,48.0,51.496468,-0.173796
"Exhibition Road Museums 2, South Kensington",63.0,45.0,49.0,60.0,54.25,43.0,51.495947,-0.173689
"Exhibition Road, Knightsbridge",139.0,129.0,150.0,131.0,137.25,115.0,51.499917,-0.174554
"Falcon Road, Clapham Junction",98.0,93.0,109.0,79.0,94.75,78.0,51.466633,-0.169821
"Falkirk Street, Hoxton",50.0,43.0,28.0,32.0,38.25,37.0,51.53095,-0.078505
"Fanshaw Street, Hoxton",50.0,54.0,66.0,48.0,54.5,52.0,51.529537,-0.083353
"Farm Street, Mayfair",34.0,39.0,39.0,28.0,35.0,33.0,51.509351,-0.147449
"Farringdon Lane, Clerkenwell",55.0,42.0,46.0,40.0,45.75,41.0,51.52352,-0.10834
"Farringdon Street, Holborn",44.0,45.0,37.0,47.0,43.25,37.0,51.516785,-0.104947
"Fashion Street, Whitechapel",61.0,47.0,56.0,31.0,48.75,25.0,51.51838,-0.073438
"Fawcett Close, Battersea",22.0,20.0,26.0,16.0,21.0,19.0,51.469161,-0.174485
"Felsham Road, Putney",20.0,23.0,19.0,20.0,20.5,32.0,51.464786,-0.215618
