StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Cleveland Gardens, Bayswater",42.0,24.0,31.0,44.0,35.25,36.0,51.515607,-0.183118
"Cleveland Way, Stepney",110.0,102.0,115.0,123.0,112.5,91.0,51.520893,-0.051394
"Clifford Street, Mayfair",36.0,23.0,23.0,38.0,30.0,25.0,51.510662,-0.142345
"Clifton Road, Maida Vale",34.0,33.0,43.0,48.0,39.5,29.0,51.525575,-0.179592
"Clifton Street, Shoreditch",45.0,33.0,28.0,45.0,37.75,39.0,51.523196,-0.083067
"Clinton Road, Mile End",52.0,38.0,47.0,36.0,43.25,36.0,51.525941,-0.036017
"Cloudesley Road, Angel",40.0,47.0,51.0,30.0,42.0,18.0,51.534408,-0.109025
"Colet Gardens, Hammersmith",6.0,5.0,5.0,5.0,5.25,5.0,51.491093,-0.216493
"Collingham Gardens, Earl's Court",42.0,35.0,46.0,34.0,39.25,42.0,51.491615,-0.186753
"Columbia Road, Shoreditch",54.0,56.0,59.0,49.0,54.5,57.0,51.528187,-0.075375
"Commercial Street, Shoreditch",49.0,45.0,55.0,50.0,49.75,37.0,51.52127,-0.075578
"Concert Hall Approach 1, South Bank",26.0,25.0,37.0,29.0,29.25,16.0,51.505044,-0.115851
"Concert Hall Approach 2, South Bank",40.0,37.0,30.0,41.0,37.0,23.0,51.504942,-0.115533
"Coomer Place, West Kensington",66.0,57.0,57.0,69.0,62.25,48.0,51.48357,-0.202038
"Copper Box Arena, Queen Elizabeth Olympic Park",33.0,25.0,54.0,34.0,36.5,41.0,51.544909,-0.020542
"Coram Street, Bloomsbury",47.0,55.0,32.0,32.0,41.5,31.0,51.524,-0.126409
"Cotton Garden Estate, Kennington",23.0,38.0,47.0,29.0,34.25,42.0,51.490757,-0.106323
"Courland Grove, Wandsworth Road",57.0,54.0,35.0,31.0,44.25,32.0,51.472918,-0.132102
"Crabtree Lane, Fulham",24.0,35.0,37.0,24.0,30.0,28.0,51.482944,-0.219346
"Craven Street, Strand",130.0,144.0,145.0,133.0,138.0,94.0,51.508103,-0.126021
"Crawford Street, Marylebone",66.0,74.0,59.0,66.0,66.25,68.0,51.52026,-0.157183
"Crinan Street, King's Cross",33.0,26.0,30.0,20.0,27.25,13.0,51.534474,-0.122203
"Crisp Road, Hammersmith",58.0,48.0,52.0,56.0,53.5,34.0,51.488108,-0.226606
"Cromer Street, Bloomsbury",21.0,27.0,41.0,16.0,26.25,14.0,51.528279,-0.119558
"Crosswall, Tower",175.0,152.0,145.0,131.0,150.75,105.0,51.511594,-0.077121
"Culvert Road, Battersea",26.0,21.0,25.0,23.0,23.75,23.0,51.471095,-0.15785
"Curlew Street, Shad Thames",82.0,77.0,80.0,58.0,74.25,46.0,51.502279,-0.074189
"Curzon Street, Mayfair",49.0,32.0,44.0,44.0,42.25,36.0,51.507069,-0.145904
"Danvers Street, West Chelsea",30.0,53.0,37.0,33.0,38.25,37.0,51.482567,-0.172078
"De Vere Gardens, Kensington",46.0,36.0,72.0,53.0,51.75,28.0,51.501737,-0.18498
"Denyer Street, Knightsbridge",22.0,12.0,17.0,9.0,15.0,16.0,51.493583,-0.165101
"Derry Street, Kensington",115.0,73.0,123.0,107.0,104.5,103.0,51.501364,-0.191462
"Devons Road, Bow",28.0,31.0,28.0,24.0,27.75,24.0,51.52512,-0.015578
"Devonshire Square, Liverpool Street",41.0,35.0,39.0,37.0,38.0,43.0,51.516468,-0.079684
"Devonshire Terrace, Bayswater",49.0,71.0,50.0,78.0,62.0,75.0,51.51348,-0.17977
"Dickens Square, Borough",20.0,26.0,25.0,21.0,23.0,24.0,51.496791,-0.093913
"Disraeli Road, Putney",19.0,25.0,28.0,20.0,23.0,22.0,51.46161,-0.216145
"Dock Street, Wapping",68.0,82.0,73.0,75.0,74.5,73.0,51.509786,-0.068161
"Doddington Grove, Kennington",56.0,38.0,63.0,52.0,52.25,42.0,51.486929,-0.102996
"Doric Way , Somers Town",89.0,94.0,79.0,80.0,85.5,44.0,51.528833,-0.13225
