EndStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Guildhouse Street, Victoria",36.75,20,-16.75,51.492345,-0.141334
"Guilford Street , Bloomsbury",69.75,64,-5.75,51.523346,-0.120202
"Gunmakers Lane, Old Ford",34,30,-4,51.535179,-0.03338
"Gwendwr Road, West Kensington",27.75,27,-0.75,51.491026,-0.209121
"Haggerston Road, Haggerston",70,52,-18,51.539328,-0.074284
"Halford Road, West Kensington",41.75,54,12.25,51.483911,-0.197609
"Hammersmith Road, Hammersmith",61.75,53,-8.75,51.493267,-0.21985
"Hampstead Road, Euston",64.5,51,-13.5,51.525542,-0.138231
"Hampton Street, Walworth",59,53,-6,51.49217,-0.101536
"Handyside Street, King's Cross",63.25,53,-10.25,51.53724,-0.124807
"Hansard Mews, Holland Park",34.25,29,-5.25,51.503802,-0.215808
"Harcourt Terrace, West Brompton",62.25,63,0.75,51.487958,-0.187404
"Hardwick Street, Clerkenwell",23.25,18,-5.25,51.527842,-0.108068
"Harford Street, Mile End",24.5,28,3.5,51.521564,-0.039264
"Harper Road, The Borough",32.75,38,5.25,51.498597,-0.096191
"Harriet Street, Knightsbridge",67.75,57,-10.75,51.500241,-0.15934
"Harrington Square 1, Camden Town",46,28,-18,51.533019,-0.139174
"Harrowby Street, Marylebone",36.5,23,-13.5,51.517372,-0.164207
"Hartington Road, Stockwell",54.75,46,-8.75,51.47787,-0.126874
"Hatton Garden, Holborn",64,50,-14,51.518825,-0.108028
"Hatton Wall, Holborn",80.75,65,-15.75,51.521661,-0.109006
"Hawley Crescent, Camden Town",19,19,0,51.541007,-0.14326
"Heath Road, Battersea",20,19,-1,51.468669,-0.146544
"Here East North, Queen Elizabeth Olympic Park",16.25,31,14.75,51.548731,-0.022606
"Here East South, Queen Elizabeth Olympic Park",11.25,2,-9.25,51.546532,-0.020597
"Hereford Road, Bayswater",40.5,41,0.5,51.513735,-0.193487
"Hermitage Court, Wapping",32,32,0,51.504719,-0.063531
"Heron Quays DLR, Canary Wharf",23.75,16,-7.75,51.502661,-0.021596
"Hertford Road, De Beauvoir Town",42.75,43,0.25,51.537277,-0.079201
"Hewison Street, Old Ford",36.25,35,-1.25,51.533283,-0.028155
"Hibbert Street, Battersea",63.75,55,-8.75,51.46517,-0.180389
"High Holborn , Covent Garden",72.25,59,-13.25,51.516226,-0.124826
"Hinde Street, Marylebone",78.75,59,-19.75,51.516814,-0.151926
"Holborn Circus, Holborn",177.75,133,-44.75,51.51795,-0.108657
"Holden Street, Battersea",17.5,19,1.5,51.46879,-0.15823
"Holland Park, Kensington",19.5,8,-11.5,51.502319,-0.200742
"Hollybush Gardens, Bethnal Green",27.5,24,-3.5,51.527607,-0.057133
"Holy Trinity Brompton, Knightsbridge",65.75,61,-4.75,51.497056,-0.168917
"Hop Exchange, The Borough",232.5,212,-20.5,51.504627,-0.091773
"Horseferry Road, Westminster",64.75,44,-20.75,51.494816,-0.130458
"Hortensia Road, West Brompton",46.25,33,-13.25,51.481765,-0.185273
"Houghton Street, Strand",34.25,23,-11.25,51.51362,-0.116764
"Houndsditch, Aldgate",58,51,-7,51.514449,-0.077178
"Howick Place, Westminster",91.75,76,-15.75,51.496753,-0.138733
"Howland Street, Fitzrovia",83.25,53,-30.25,51.520994,-0.139016
"Hoxton Station, Hoxton",46.5,44,-2.5,51.531091,-0.075901
"Hoxton Street, Hoxton",20.25,14,-6.25,51.52959,-0.0801
"Humbolt Road, Fulham",44.75,46,1.25,51.483217,-0.21186
"Hurlingham Park, Parsons Green",22.5,13,-9.5,51.470131,-0.20464
"Hyde Park Corner, Hyde Park",380.75,271,-109.75,51.503117,-0.15352
"Ilchester Gardens, Bayswater",48.25,35,-13.25,51.51244,-0.19096
"Ilchester Place, Kensington",10.75,15,4.25,51.500743,-0.202759
"Imperial College, Knightsbridge",71,74,3,51.499428,-0.179702
"Imperial Road, Sands End",40,26,-14,51.475142,-0.187278
"Imperial Wharf Station, Sands End",82.75,84,1.25,51.474665,-0.183165
"Import Dock, Canary Wharf",55.5,50,-5.5,51.505772,-0.01646
"Ingrave Street, Clapham Junction",14.25,21,6.75,51.467454,-0.172293
"Irene Road, Parsons Green",33,43,10,51.473763,-0.19701
"Islington Green, Angel",103.5,112,8.5,51.536384,-0.102757
"Jewry Street, Aldgate",62.5,56,-6.5,51.513406,-0.076793
"Jubilee Crescent, Cubitt Town",23.5,18,-5.5,51.493381,-0.007542
"Jubilee Plaza, Canary Wharf",76.5,74,-2.5,51.5034,-0.020242
"Jubilee Street, Stepney",31.5,23,-8.5,51.515975,-0.053177
"Kennington Cross, Kennington",80.25,70,-10.25,51.48894,-0.111435
"Kennington Lane Rail Bridge, Vauxhall",110.75,80,-30.75,51.486343,-0.122492
"Kennington Oval, Oval",46.5,51,4.5,51.483145,-0.113134
"Kennington Road  , Vauxhall",41.25,55,13.75,51.495718,-0.110889
"Kennington Road Post Office, Oval",39.75,57,17.25,51.484788,-0.110683
"Kennington Station, Kennington",39.5,43,3.5,51.488852,-0.105593
"Kensington Church Street, Kensington",66.75,57,-9.75,51.503157,-0.191496
"Kensington Gore, Knightsbridge",22.25,20,-2.25,51.501432,-0.178656
"Kensington Olympia Station, Olympia",37,25,-12,51.498157,-0.209494
"Kensington Town Hall, Kensington",25.25,14,-11.25,51.501945,-0.194392
"Killick Street, King's Cross",17.5,16,-1.5,51.5338,-0.118677
"King Edward Street, St Pauls",32.5,41,8.5,51.51601,-0.0985
"King Edward Walk, Waterloo",16.5,5,-11.5,51.49775,-0.10988
"Kings Gate House, Westminster",44.25,34,-10.25,51.497698,-0.137598
"Kingsway Southbound, Strand",46,31,-15,51.513875,-0.117774
"Kingsway, Covent Garden",23.25,15,-8.25,51.514409,-0.118478
