StartStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Finsbury Leisure Centre, St. Luke's",83.25,83,-0.25,51.526008,-0.096317
"Finsbury Library , Finsbury",31,29,-2,51.526717,-0.104298
"Finsbury Square , Moorgate",57.25,48,-9.25,51.520962,-0.085634
"Fire Brigade Pier, Vauxhall",51,43,-8,51.493699,-0.121394
"Fisherman's Walk West, Canary Wharf",50,38,-12,51.50623,-0.02296
"Flamborough Street, Limehouse",77.25,72,-5.25,51.512871,-0.038986
"Flood Street, Chelsea",93.5,83,-10.5,51.488023,-0.166878
"Foley Street, Fitzrovia",55.75,44,-11.75,51.519181,-0.140485
"Ford Road, Old Ford",35,35,0,51.532513,-0.033085
"Fore Street Avenue, Guildhall",52,36,-16,51.518093,-0.091401
"Fore Street, Guildhall",31,22,-9,51.517842,-0.090075
"Fournier Street, Whitechapel",61,53,-8,51.519362,-0.074431
"Frampton Street, Paddington",29,43,14,51.523353,-0.175116
"Freston Road, Avondale",15.75,14,-1.75,51.512981,-0.219486
"Frith Street, Soho",70,54,-16,51.513103,-0.131213
"Fulham Broadway, Walham Green",105.75,106,0.25,51.479932,-0.194116
"Fulham Park Road, Fulham",31,26,-5,51.473471,-0.20782
"Furze Green, Bow",47.5,49,1.5,51.519265,-0.021345
"Garnet Street, Shadwell",39.25,53,13.75,51.508447,-0.055167
"Gas Holders, Battersea Park",115.25,84,-31.25,51.477966,-0.147857
"Gascoyne Road, Victoria Park",45,40,-5,51.541515,-0.038557
"Gauden Road, Clapham",56,47,-9,51.464995,-0.130908
"Gaywood  Street, Elephant & Castle",40.75,42,1.25,51.49605,-0.104193
"George Place Mews, Marylebone",47.25,39,-8.25,51.516892,-0.158249
"George Row, Bermondsey",47.25,54,6.75,51.498585,-0.068981
"George Street, Marylebone",53.5,42,-11.5,51.517703,-0.154106
"Geraldine Street, Elephant & Castle",15.75,5,-10.75,51.496127,-0.106
"Globe Town Market, Bethnal Green",44.5,46,1.5,51.528869,-0.047548
"Gloucester Avenue, Camden Town",41.25,27,-14.25,51.537349,-0.147154
"Gloucester Road (Central), South Kensington",39.5,27,-12.5,51.496462,-0.183289
"Gloucester Road (North), Kensington",56.25,56,-0.25,51.497924,-0.183834
"Gloucester Road Station, South Kensington",91.25,81,-10.25,51.494185,-0.18267
"Gloucester Street, Pimlico",56.25,70,13.75,51.490962,-0.139625
"Gloucester Terrace, Bayswater",39,38,-1,51.517919,-0.188098
"Godliman Street, St. Paul's",60,54,-6,51.512484,-0.099141
"Golden Lane, Barbican",62.75,53,-9.75,51.521747,-0.094475
"Golden Square, Soho",74,59,-15,51.511897,-0.137043
"Goldsmith's Row, Haggerston",58.75,54,-4.75,51.531864,-0.066035
"Good's Way, King's Cross",98,71,-27,51.534667,-0.125078
"Goswell Road (City Uni), Finsbury",32.25,28,-4.25,51.528246,-0.101026
"Grafton Street, Mayfair",30.25,17,-13.25,51.509992,-0.143495
"Graham Street, Angel",52.5,52,-0.5,51.532661,-0.099981
"Granby Street, Shoreditch",68.25,62,-6.25,51.525645,-0.069543
"Grant Road East, Clapham Junction",44,36,-8,51.464894,-0.173029
"Great Dover Street, The Borough",52.5,42,-10.5,51.497382,-0.089446
"Great Percy Street, Clerkenwell",39.5,31,-8.5,51.528915,-0.11548
"Great Russell Street, Bloomsbury",56.25,54,-2.25,51.517727,-0.127854
"Great Suffolk Street, The Borough",36,27,-9,51.501732,-0.100292
"Great Titchfield Street, Fitzrovia",48.75,44,-4.75,51.520253,-0.141327
"Great Tower Street, Monument",126.5,93,-33.5,51.510484,-0.082989
"Green Park Station, Mayfair",119.25,108,-11.25,51.506613,-0.142844
"Green Street, Mayfair",99,72,-27,51.512276,-0.157436
"Greenberry Street, St.John's Wood",17.75,15,-2.75,51.53256,-0.16862
"Greenland Road, Camden Town",63.75,31,-32.75,51.539099,-0.141728
"Grenfell Road, Avondale",18.25,18,-0.25,51.5129,-0.214762
"Greycoat Street , Westminster",18.5,22,3.5,51.494591,-0.134234
"Greyhound Road, Hammersmith",51.5,46,-5.5,51.486062,-0.214428
"Grosvenor Crescent, Belgravia",9.5,10,0.5,51.501352,-0.153194
"Grosvenor Road, Pimlico",32.75,44,11.25,51.485357,-0.142207
"Grosvenor Square, Mayfair",62.75,55,-7.75,51.51217,-0.150481
"Grove End Road, St. John's Wood",41,37,-4,51.530889,-0.17677
"Guildhouse Street, Victoria",40.25,23,-17.25,51.492345,-0.141334
"Guilford Street , Bloomsbury",70.25,63,-7.25,51.523346,-0.120202
"Gunmakers Lane, Old Ford",32,31,-1,51.535179,-0.03338
"Gwendwr Road, West Kensington",31.5,29,-2.5,51.491026,-0.209121
"Haggerston Road, Haggerston",68.75,55,-13.75,51.539328,-0.074284
"Halford Road, West Kensington",39.25,54,14.75,51.483911,-0.197609
"Hammersmith Road, Hammersmith",62.25,58,-4.25,51.493267,-0.21985
"Hampstead Road, Euston",63.5,51,-12.5,51.525542,-0.138231
"Hampton Street, Walworth",55.5,50,-5.5,51.49217,-0.101536
"Handyside Street, King's Cross",60.75,54,-6.75,51.53724,-0.124807
"Hansard Mews, Holland Park",31.5,28,-3.5,51.503802,-0.215808
"Harcourt Terrace, West Brompton",67,61,-6,51.487958,-0.187404
"Hardwick Street, Clerkenwell",29,33,4,51.527842,-0.108068
"Harford Street, Mile End",21.75,30,8.25,51.521564,-0.039264
"Harper Road, The Borough",36.25,35,-1.25,51.498597,-0.096191
"Harriet Street, Knightsbridge",68,55,-13,51.500241,-0.15934
"Harrington Square 1, Camden Town",50.75,36,-14.75,51.533019,-0.139174
"Harrowby Street, Marylebone",34.25,21,-13.25,51.517372,-0.164207
"Hartington Road, Stockwell",52,45,-7,51.47787,-0.126874
"Hatton Garden, Holborn",81.75,75,-6.75,51.518825,-0.108028
"Hatton Wall, Holborn",86.25,74,-12.25,51.521661,-0.109006
"Hawley Crescent, Camden Town",23,18,-5,51.541007,-0.14326
"Heath Road, Battersea",22.5,19,-3.5,51.468669,-0.146544
"Here East North, Queen Elizabeth Olympic Park",18.75,24,5.25,51.548731,-0.022606
"Here East South, Queen Elizabeth Olympic Park",10.75,3,-7.75,51.546532,-0.020597
"Hereford Road, Bayswater",48.5,34,-14.5,51.513735,-0.193487
"Hermitage Court, Wapping",33.25,33,-0.25,51.504719,-0.063531
"Heron Quays DLR, Canary Wharf",22,16,-6,51.502661,-0.021596
"Hertford Road, De Beauvoir Town",47.75,42,-5.75,51.537277,-0.079201
"Hewison Street, Old Ford",37,37,0,51.533283,-0.028155
"Hibbert Street, Battersea",62.5,54,-8.5,51.46517,-0.180389
"High Holborn , Covent Garden",66,60,-6,51.516226,-0.124826
"Hinde Street, Marylebone",75.5,59,-16.5,51.516814,-0.151926
"Holborn Circus, Holborn",119.75,85,-34.75,51.51795,-0.108657
"Holden Street, Battersea",20,21,1,51.46879,-0.15823
"Holland Park, Kensington",26.25,17,-9.25,51.502319,-0.200742
"Hollybush Gardens, Bethnal Green",29.5,32,2.5,51.527607,-0.057133
"Holy Trinity Brompton, Knightsbridge",60.25,56,-4.25,51.497056,-0.168917
"Hop Exchange, The Borough",192.75,181,-11.75,51.504627,-0.091773
"Horseferry Road, Westminster",62,41,-21,51.494816,-0.130458
"Hortensia Road, West Brompton",45.5,48,2.5,51.481765,-0.185273
"Houghton Street, Strand",33.75,23,-10.75,51.51362,-0.116764
"Houndsditch, Aldgate",59,50,-9,51.514449,-0.077178
"Howick Place, Westminster",77.25,70,-7.25,51.496753,-0.138733
"Howland Street, Fitzrovia",82.75,54,-28.75,51.520994,-0.139016
"Hoxton Station, Hoxton",49.25,50,0.75,51.531091,-0.075901
"Hoxton Street, Hoxton",27.75,18,-9.75,51.52959,-0.0801
"Humbolt Road, Fulham",45.5,46,0.5,51.483217,-0.21186
"Hurlingham Park, Parsons Green",26.75,14,-12.75,51.470131,-0.20464
"Hyde Park Corner, Hyde Park",381.75,270,-111.75,51.503117,-0.15352
"Ilchester Gardens, Bayswater",58.75,40,-18.75,51.51244,-0.19096
"Ilchester Place, Kensington",18.5,13,-5.5,51.500743,-0.202759
"Imperial College, Knightsbridge",65.5,55,-10.5,51.499428,-0.179702
"Imperial Road, Sands End",34.75,30,-4.75,51.475142,-0.187278
"Imperial Wharf Station, Sands End",78.5,82,3.5,51.474665,-0.183165
"Import Dock, Canary Wharf",55.5,42,-13.5,51.505772,-0.01646
"Ingrave Street, Clapham Junction",14.25,23,8.75,51.467454,-0.172293
"Irene Road, Parsons Green",30,30,0,51.473763,-0.19701
"Islington Green, Angel",103.5,97,-6.5,51.536384,-0.102757
"Jewry Street, Aldgate",62.5,56,-6.5,51.513406,-0.076793
"Jubilee Crescent, Cubitt Town",23,17,-6,51.493381,-0.007542
"Jubilee Plaza, Canary Wharf",72.25,84,11.75,51.5034,-0.020242
"Jubilee Street, Stepney",41.25,19,-22.25,51.515975,-0.053177
"Kennington Cross, Kennington",79.75,61,-18.75,51.48894,-0.111435
"Kennington Lane Rail Bridge, Vauxhall",111.25,78,-33.25,51.486343,-0.122492
"Kennington Oval, Oval",44,54,10,51.483145,-0.113134
"Kennington Road  , Vauxhall",41,50,9,51.495718,-0.110889
"Kennington Road Post Office, Oval",37.75,46,8.25,51.484788,-0.110683
"Kennington Station, Kennington",42,43,1,51.488852,-0.105593
"Kensington Church Street, Kensington",68.5,60,-8.5,51.503157,-0.191496
"Kensington Gore, Knightsbridge",31.5,20,-11.5,51.501432,-0.178656
"Kensington Olympia Station, Olympia",36.75,29,-7.75,51.498157,-0.209494
"Kensington Town Hall, Kensington",26.5,23,-3.5,51.501945,-0.194392
"Killick Street, King's Cross",19.25,12,-7.25,51.5338,-0.118677
"King Edward Street, St Pauls",35.25,24,-11.25,51.51601,-0.0985
"King Edward Walk, Waterloo",16.75,6,-10.75,51.49775,-0.10988
"Kings Gate House, Westminster",39.25,37,-2.25,51.497698,-0.137598
"Kingsway Southbound, Strand",50.5,32,-18.5,51.513875,-0.117774
"Kingsway, Covent Garden",22.5,14,-8.5,51.514409,-0.118478
"Knaresborough Place, Earl's Court",38.25,51,12.75,51.493631,-0.190603
